Number,Status,Mode,FanSpeed,Swing,Temperature,Value,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7
1,Off,Auto,Auto,Auto,Hi,40040720000000604004072000108701F5000070070000810000B1,01000000 00000100 00000111 00100000,00000000 00000000 00000000 01100000,01000000 00000100 00000111 00100000,00000000 00010000 10000111 00000001,11110101 00000000 00000000 01110000,00000111 00000000 00000000 10000001,00000000 00000000 10110001 
2,On,Auto,Auto,Auto,Hi,40040720000000604004072000908701F500007007000081000071,01000000 00000100 00000111 00100000,00000000 00000000 00000000 01100000,01000000 00000100 00000111 00100000,00000000 10010000 10000111 00000001,11110101 00000000 00000000 01110000,00000111 00000000 00000000 10000001,00000000 00000000 01110001 
3,On,Heat,Auto,Auto,30,40040720000000604004072000923C01F500007007000081000094,01000000 00000100 00000111 00100000,00000000 00000000 00000000 01100000,01000000 00000100 00000111 00100000,00000000 10010010 00111100 00000001,11110101 00000000 00000000 01110000,00000111 00000000 00000000 10000001,00000000 00000000 10010100 
4,On,Cool,Auto,Auto,30,400407200000006040040720009C3C01F500007007000081000098,01000000 00000100 00000111 00100000,00000000 00000000 00000000 01100000,01000000 00000100 00000111 00100000,00000000 10011100 00111100 00000001,11110101 00000000 00000000 01110000,00000111 00000000 00000000 10000001,00000000 00000000 10011000 
5,On,Dry,Auto,Auto,30,40040720000000604004072000943C01F500007007000081000090,01000000 00000100 00000111 00100000,00000000 00000000 00000000 01100000,01000000 00000100 00000111 00100000,00000000 10010100 00111100 00000001,11110101 00000000 00000000 01110000,00000111 00000000 00000000 10000001,00000000 00000000 10010000 
6,On,Dry,1,Auto,30,40040720000000604004072000943C01FC00007007000081000099,01000000 00000100 00000111 00100000,00000000 00000000 00000000 01100000,01000000 00000100 00000111 00100000,00000000 10010100 00111100 00000001,11111100 00000000 00000000 01110000,00000111 00000000 00000000 10000001,00000000 00000000 10011001 
7,On,Dry,3,Auto,30,40040720000000604004072000943C01FA0000700700008100009D,01000000 00000100 00000111 00100000,00000000 00000000 00000000 01100000,01000000 00000100 00000111 00100000,00000000 10010100 00111100 00000001,11111010 00000000 00000000 01110000,00000111 00000000 00000000 10000001,00000000 00000000 10011101 
8,On,Dry,5,Auto,30,40040720000000604004072000943C01FE0000700700008100009B,01000000 00000100 00000111 00100000,00000000 00000000 00000000 01100000,01000000 00000100 00000111 00100000,00000000 10010100 00111100 00000001,11111110 00000000 00000000 01110000,00000111 00000000 00000000 10000001,00000000 00000000 10011011 
9,On,Dry,5,1,30,40040720000000604004072000943C018E000070070000810000D3,01000000 00000100 00000111 00100000,00000000 00000000 00000000 01100000,01000000 00000100 00000111 00100000,00000000 10010100 00111100 00000001,10001110 00000000 00000000 01110000,00000111 00000000 00000000 10000001,00000000 00000000 11010011 
10,On,Dry,5,2,30,40040720000000604004072000943C014E00007007000081000033,01000000 00000100 00000111 00100000,00000000 00000000 00000000 01100000,01000000 00000100 00000111 00100000,00000000 10010100 00111100 00000001,01001110 00000000 00000000 01110000,00000111 00000000 00000000 10000001,00000000 00000000 00110011 
